filepath,category,source
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\11- List Comprehensions.mp4,Document / Article,zero-shot(0.1528)
C:\Users\ajayp\Downloads\11- Working with Time Deltas.mp4,Other,zero-shot(0.1529)
C:\Users\ajayp\Downloads\2- Conditional Statements.mp4,Chart / Data,zero-shot(0.1529)
C:\Users\ajayp\Downloads\Jobs_Career_Playbook.docx,ID / Sensitive,zero-shot(0.1529)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\2- Conditional Statements.mp4,Chart / Data,zero-shot(0.1529)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\11- Working with Time Deltas.mp4,Other,zero-shot(0.1529)
C:\Users\ajayp\Downloads\VIT-Presentation.pdf,UI / Design,zero-shot(0.153)
C:\Users\ajayp\Downloads\NoteGPT_Speech_1763746143908.mp3,Document / Article,zero-shot(0.1531)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-04-16_CLIQUE-Decision-Problem.pdf,Document / Article,zero-shot(0.1531)
C:\Users\ajayp\Downloads\with-editor.exe,Other,zero-shot(0.1531)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-03-22_Bankers-Algo.pdf,Code / Terminal,zero-shot(0.1532)
C:\Users\ajayp\Downloads\CASESTUDY OPPS.docx,ID / Sensitive,zero-shot(0.1533)
C:\Users\ajayp\Downloads\5- Working with Zip Files.mp4,Code / Terminal,zero-shot(0.1535)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2025-12-09_OS-and-Structures (1).pptx,Document / Article,zero-shot(0.1535)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\5- Working with Zip Files.mp4,Code / Terminal,zero-shot(0.1535)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\2- Primitive Types\5- Formatted Strings.mp4,UI / Design,zero-shot(0.1538)
C:\Users\ajayp\Downloads\aa7rhreaz.webp,Other,zero-shot(0.1546)
C:\Users\ajayp\Downloads\BMAT205L-CAT-2-C1-2024-2025.pdf,Code / Terminal,zero-shot(0.1546)
C:\Users\ajayp\Downloads\VL2025260106281_AST05 (1).pdf,Document / Article,zero-shot(0.1546)
C:\Users\ajayp\Downloads\VL2025260106281_AST05.pdf,Document / Article,zero-shot(0.1546)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\4- Functions\1- Defining Functions.mp4,UI / Design,zero-shot(0.1546)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\2- Accessing Items.mp4,Other,zero-shot(0.1549)
C:\Users\ajayp\Downloads\1- Comparison Operators.mp4,Chart / Data,zero-shot(0.1553)
C:\Users\ajayp\Downloads\deep-research-report.md,Document / Article,zero-shot(0.1553)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\1- Comparison Operators.mp4,Chart / Data,zero-shot(0.1553)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-08-30 at 14.55.35_d9336f2f.jpg,Chart / Data,zero-shot(0.1554)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-14 at 10.03.06_218c10b4.jpg,Chart / Data,zero-shot(0.1554)
C:\Users\ajayp\Downloads\12- Generating Random Values.mp4,Code / Terminal,zero-shot(0.1556)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\12- Generating Random Values.mp4,Code / Terminal,zero-shot(0.1556)
C:\Users\ajayp\Downloads\BACSE202_DATABASE-SYSTEMS_ETH_1.0_84_BACSE202.pdf,Code / Terminal,zero-shot(0.1557)
C:\Users\ajayp\Downloads\MCQ_Exam_Notes.pdf,Document / Article,zero-shot(0.1557)
C:\Users\ajayp\Downloads\MCQ_Exam_Notes_high.pdf,Document / Article,zero-shot(0.1557)
C:\Users\ajayp\Downloads\RobloxPlayerInstaller.exe,Code / Terminal,zero-shot(0.1558)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAEEE101_00100_ETH_2025-08-01_Module_1_L6-_-L7_Single-phase-RL-RC-and-RLC-Series-circuits.pdf,Code / Terminal,zero-shot(0.1559)
C:\Users\ajayp\Downloads\indoornav.html,UI / Design,zero-shot(0.156)
C:\Users\ajayp\Downloads\25BCE2061_VL2025260503942_AST03.pdf,Chat / Messages,zero-shot(0.1563)
C:\Users\ajayp\Downloads\12- Exercise.mp4,UI / Design,zero-shot(0.1564)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\4- Functions\12- Exercise.mp4,UI / Design,zero-shot(0.1564)
C:\Users\ajayp\Downloads\NoteGPT_FLOWCARD_Module 3.pdf.png,Document / Article,zero-shot(0.1569)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-01-24_Nature-of-Technical-Writing.pptx,Document / Article,zero-shot(0.157)
C:\Users\ajayp\Downloads\NoteGPT_Speech_1763715795887.mp3,Document / Article,zero-shot(0.1571)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\14- Exercise.mp4,UI / Design,zero-shot(0.1571)
C:\Users\ajayp\Downloads\exam_prep_guide.jsx,UI / Design,zero-shot(0.1572)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-14 at 10.03.00_f2e20b3b.jpg,Chart / Data,zero-shot(0.1572)
C:\Users\ajayp\Downloads\2- Creating Classes.mp4,UI / Design,zero-shot(0.1573)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\2- Creating Classes.mp4,UI / Design,zero-shot(0.1573)
C:\Users\ajayp\Downloads\23- Exercise.mp4,UI / Design,zero-shot(0.1574)
C:\Users\ajayp\Downloads\BCSE303L-CAT-1-B2-2024-2025.pdf,Code / Terminal,zero-shot(0.1574)
C:\Users\ajayp\Downloads\VL2025260503942_AST03.pdf,Chat / Messages,zero-shot(0.1574)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\23- Exercise.mp4,UI / Design,zero-shot(0.1574)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-14 at 10.03.03_b4c007a6.jpg,Chart / Data,zero-shot(0.1577)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAPHY105_00100_ETH_2026-04-13_Lecture-notes-BAPHY105-Module-5.pdf,Code / Terminal,zero-shot(0.1577)
C:\Users\ajayp\Downloads\Expense Tracker\expenses.db,Chart / Data,zero-shot(0.1578)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\13- Machine Learning with Python\1- What is Machine Learning.mp4,UI / Design,zero-shot(0.1578)
C:\Users\ajayp\Downloads\10- Working with DateTimes.mp4,Chat / Messages,zero-shot(0.1579)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\9- Customizing the Admin.mp4,UI / Design,zero-shot(0.1579)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\10- Working with DateTimes.mp4,Chat / Messages,zero-shot(0.1579)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\22- Deployment.mp4,UI / Design,zero-shot(0.1581)
C:\Users\ajayp\Downloads\4- Cleaning Up.mp4,UI / Design,zero-shot(0.1583)
"C:\Users\ajayp\Downloads\A Study on Types of Malware, Their Analysis, and AI-Based Prevention Techniques.docx",UI / Design,zero-shot(0.1583)
C:\Users\ajayp\Downloads\ajay-pranav-25bce2065_page-0001.jpg,Other,zero-shot(0.1583)
C:\Users\ajayp\Downloads\WhatsApp Image 2026-01-13 at 12.28.02 AM.jpeg,Document / Article,zero-shot(0.1583)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\6- Exceptions\4- Cleaning Up.mp4,UI / Design,zero-shot(0.1583)
C:\Users\ajayp\Downloads\blueprintmap.zip,UI / Design,zero-shot(0.1584)
C:\Users\ajayp\Downloads\7- Sorting Lists.mp4,Chart / Data,zero-shot(0.1586)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\7- Sorting Lists.mp4,Chart / Data,zero-shot(0.1586)
C:\Users\ajayp\Downloads\QuickShareSetup.exe,UI / Design,zero-shot(0.1588)
C:\Users\ajayp\Downloads\25BCE2065_VL2025260107746_AST02 (1).pdf,Code / Terminal,zero-shot(0.1589)
C:\Users\ajayp\Downloads\Algorithm Strategy Assignment.pdf,Code / Terminal,zero-shot(0.1589)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-21_Grammatical-Precision-in-Technical-Writing.pdf,Document / Article,zero-shot(0.1589)
C:\Users\ajayp\Downloads\Expense Tracker\.git\config,UI / Design,zero-shot(0.159)
C:\Users\ajayp\Downloads\5- Class vs Instance Methods.mp4,UI / Design,zero-shot(0.1592)
C:\Users\ajayp\Downloads\vit-lms-extension\vit-lms-extension\icons\icon48.png,Other,zero-shot(0.1592)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\5- Class vs Instance Methods.mp4,UI / Design,zero-shot(0.1592)
C:\Users\ajayp\Downloads\BCSE303L-CAT-1-B1-2024-2025.pdf,Code / Terminal,zero-shot(0.1594)
C:\Users\ajayp\Downloads\7- Managing Dependencies.mp4,Code / Terminal,zero-shot(0.1597)
C:\Users\ajayp\Downloads\8- Publishing Packages.mp4,UI / Design,zero-shot(0.1597)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-08-30 at 15.51.27_ecc9c360.jpg,Chart / Data,zero-shot(0.1597)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\10- Python Package Index\7- Managing Dependencies.mp4,Code / Terminal,zero-shot(0.1597)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\10- Python Package Index\8- Publishing Packages.mp4,UI / Design,zero-shot(0.1597)
C:\Users\ajayp\Downloads\3- Virtual Environments (1).mp4,UI / Design,zero-shot(0.1598)
C:\Users\ajayp\Downloads\Multidisciplinary_version4.docx,Document / Article,zero-shot(0.1598)
C:\Users\ajayp\Downloads\GeeksforGeeksxCampusCollaboration-DeckforCampus-20250408155254.pdf,Code / Terminal,zero-shot(0.1599)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-04-09_Disk-Scheduling.pdf,Chart / Data,zero-shot(0.1599)
C:\Users\ajayp\Downloads\BACSE_103_Lab_Manual_Format[1] (1) (1).pdf,UI / Design,zero-shot(0.16)
C:\Users\ajayp\Downloads\BACSE_103_Lab_Manual_Format[1] (1).pdf,UI / Design,zero-shot(0.16)
C:\Users\ajayp\Downloads\BACSE_103_Lab_Manual_Format[1].pdf,UI / Design,zero-shot(0.16)
C:\Users\ajayp\Downloads\3- Virtual Environments (2).mp4,UI / Design,zero-shot(0.1602)
"C:\Users\ajayp\Downloads\A Study on Types of Malware, Their Analysis, and AI-Based Prevention Techniques_1.docx",Document / Article,zero-shot(0.1602)
"C:\Users\ajayp\Downloads\A Study on Types of Malware, Their Analysis, and AI-Based Prevention Techniques_1.pdf",Document / Article,zero-shot(0.1602)
"C:\Users\ajayp\Downloads\A Study on Types of Malware, Their Analysis, and AI-Based Prevention Techniques_final.pdf",Document / Article,zero-shot(0.1602)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAPHY105_00100_ETH_2025-07-27_Module-1-lectures-1-5.pdf,Code / Terminal,zero-shot(0.1602)
C:\Users\ajayp\Downloads\AutoHotkey_2.0.19_setup.exe,Code / Terminal,zero-shot(0.1603)
C:\Users\ajayp\Downloads\Module 4 - Lecture 11.pptx.pdf,Code / Terminal,zero-shot(0.1604)
C:\Users\ajayp\Downloads\BAPHY105 - Cycle - I Experiments Manual_Code Corrected.pdf,Document / Article,zero-shot(0.1605)
C:\Users\ajayp\Downloads\Quick Share Installer.exe,Chat / Messages,zero-shot(0.1605)
C:\Users\ajayp\Downloads\blueprintmap-dark.zip,UI / Design,zero-shot(0.1606)
C:\Users\ajayp\Downloads\Multidisciplinary (1) (2) (1).pdf,Document / Article,zero-shot(0.1607)
C:\Users\ajayp\Downloads\Multidisciplinary (1) (2) (2).pdf,Document / Article,zero-shot(0.1607)
C:\Users\ajayp\Downloads\Multidisciplinary (1) (2).pdf,Document / Article,zero-shot(0.1607)
C:\Users\ajayp\Downloads\Multidisciplinary_version4.pdf,Document / Article,zero-shot(0.1607)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-21_Analysis_-Definition_-and-Comprehension.pdf,Document / Article,zero-shot(0.1607)
C:\Users\ajayp\Downloads\3- Virtual Environments (3).mp4,UI / Design,zero-shot(0.1608)
C:\Users\ajayp\Downloads\idp_title.pdf,UI / Design,zero-shot(0.1608)
C:\Users\ajayp\Downloads\wifi-autologin-2.zip,ID / Sensitive,zero-shot(0.1608)
C:\Users\ajayp\Downloads\1- Introduction.mp4,UI / Design,zero-shot(0.1609)
C:\Users\ajayp\Downloads\Algorithm_Analysis_Notes.docx,Code / Terminal,zero-shot(0.1609)
C:\Users\ajayp\Downloads\computer net.html,Chart / Data,zero-shot(0.1609)
C:\Users\ajayp\Downloads\FALLSEM2025-26_VL_BAPHY105_00100_ETH_2025-11-17_Lecture-notes-Modules-1-5.pdf,Document / Article,zero-shot(0.1609)
C:\Users\ajayp\Downloads\newhtml.txt,Document / Article,zero-shot(0.1609)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\11- Popular Python Packages\1- Introduction.mp4,UI / Design,zero-shot(0.1609)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\1- Introduction.mp4,UI / Design,zero-shot(0.1609)
C:\Users\ajayp\Downloads\logisim-win-2.7.1.exe,Code / Terminal,zero-shot(0.1611)
C:\Users\ajayp\Downloads\CAT-1 OS Exam Pattern Analysis.pdf,Document / Article,zero-shot(0.1612)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-01-21_Taxonomy-of-Technical-Writing.pptx,Document / Article,zero-shot(0.1612)
C:\Users\ajayp\Downloads\6- Intra-package References.mp4,Other,zero-shot(0.1614)
C:\Users\ajayp\Downloads\Defending_the_Digital_Depths.pptx,UI / Design,zero-shot(0.1614)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\8- Modules\6- Intra-package References.mp4,Other,zero-shot(0.1614)
C:\Users\ajayp\Downloads\3- Yelp API.mp4,UI / Design,zero-shot(0.1615)
C:\Users\ajayp\Downloads\Module 4 - Lecture 12.pptx.pdf,Code / Terminal,zero-shot(0.1615)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\11- Popular Python Packages\3- Yelp API.mp4,UI / Design,zero-shot(0.1615)
C:\Users\ajayp\Downloads\an-introduction-to-partial-differential-equations-3031220862-9783031220869_compress.pdf,Code / Terminal,zero-shot(0.1616)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2026-02-08_Algebraic-structure.pdf,Code / Terminal,zero-shot(0.1616)
C:\Users\ajayp\Downloads\vit-lms-extension\vit-lms-extension\icons\icon16.png,Other,zero-shot(0.1616)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\16- Swapping Variables.mp4,Code / Terminal,zero-shot(0.1616)
"C:\Users\ajayp\Downloads\ChatGPT Image Jan 10, 2026, 07_09_27 PM.png",Other,zero-shot(0.1619)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-08-30 at 15.53.50_f38bc30d.jpg,Chart / Data,zero-shot(0.1619)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-03-06_Module-4.ppt,Other,zero-shot(0.162)
C:\Users\ajayp\Downloads\7- Web Scraping (1).mp4,UI / Design,zero-shot(0.1621)
C:\Users\ajayp\Downloads\FALLSEM2026-27_VL_BAMAT207_00100_ETH_2026-07-06_text-book.pdf,Chart / Data,zero-shot(0.1621)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAMAT205_00100_TH_2025-12-07_Module-I.pdf,Code / Terminal,zero-shot(0.1622)
C:\Users\ajayp\Downloads\nature_taxonomy of TechWri.pdf,UI / Design,zero-shot(0.1624)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-14 at 10.03.05_fdc1c19e.jpg,Chart / Data,zero-shot(0.1624)
C:\Users\ajayp\Downloads\TT 1.pdf,Other,zero-shot(0.1625)
C:\Users\ajayp\Downloads\14- Queues.mp4,Other,zero-shot(0.1626)
C:\Users\ajayp\Downloads\Application of Vector Calculus and Differential Equations in simulating Particle Motion in Fluids.pdf,Document / Article,zero-shot(0.1626)
C:\Users\ajayp\Downloads\PEN-200.pdf,Other,zero-shot(0.1626)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-28 at 11.00.16_eaeaeff4.jpg,Chart / Data,zero-shot(0.1626)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\14- Queues.mp4,Other,zero-shot(0.1626)
C:\Users\ajayp\Downloads\WhatsApp Image 2026-01-31 at 11.19.29 AM.jpeg,Document / Article,zero-shot(0.1627)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\17- Raising 404 Errors.mp4,UI / Design,zero-shot(0.1627)
C:\Users\ajayp\Downloads\Multidisciplinary_version5.docx,Document / Article,zero-shot(0.1628)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2025-12-12_Introduction-to-Communication.pdf,Chat / Messages,zero-shot(0.1628)
C:\Users\ajayp\Downloads\9- Debugging.mp4,Code / Terminal,zero-shot(0.1629)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\4- Functions\9- Debugging.mp4,Code / Terminal,zero-shot(0.1629)
C:\Users\ajayp\Downloads\Technical Writing.pptx,UI / Design,zero-shot(0.1631)
C:\Users\ajayp\Downloads\4- Class vs Instance Attributes.mp4,Code / Terminal,zero-shot(0.1633)
C:\Users\ajayp\Downloads\Academic.Press.Handbook.Of.Mathematical.Formula.And.Integrals.4th.Edition.Jan.2008.eBook-ELOHiM.pdf,Chart / Data,zero-shot(0.1633)
C:\Users\ajayp\Downloads\algorithm_notes.pdf,Chart / Data,zero-shot(0.1633)
C:\Users\ajayp\Downloads\BraveBrowserSetup-BRV010.exe,UI / Design,zero-shot(0.1633)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\4- Class vs Instance Attributes.mp4,Code / Terminal,zero-shot(0.1633)
C:\Users\ajayp\Downloads\17- Running External Programs.mp4,Code / Terminal,zero-shot(0.1636)
C:\Users\ajayp\Downloads\19- Polymorphism.mp4,UI / Design,zero-shot(0.1636)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\19- Polymorphism.mp4,UI / Design,zero-shot(0.1636)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\9- Python Standard Library\17- Running External Programs.mp4,Code / Terminal,zero-shot(0.1636)
C:\Users\ajayp\Downloads\BACSE203-CN-Module-I-1st half.pdf,Code / Terminal,zero-shot(0.1638)
C:\Users\ajayp\Downloads\Multidisciplinary_version5.pdf,Document / Article,zero-shot(0.164)
C:\Users\ajayp\Downloads\taskmarket.zip,Chart / Data,zero-shot(0.164)
C:\Users\ajayp\Downloads\dayam_board_game.html,Chart / Data,zero-shot(0.1641)
C:\Users\ajayp\Downloads\NoteGPT_Speech_1763751525004.mp3,Document / Article,zero-shot(0.1641)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\3- List Unpacking.mp4,Other,zero-shot(0.1643)
C:\Users\ajayp\Downloads\Gemini_Generated_Image_ox19tgox19tgox19.png,Document / Article,zero-shot(0.1644)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-02-09_MODULE---II---AVL-TREE.pptx,Other,zero-shot(0.1644)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-03-10_Module---5.pptx,Other,zero-shot(0.1644)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-01-24_Taxonomy-of-Technical-Writing (1).pdf,Document / Article,zero-shot(0.1645)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BAENG101_00100_ETH_2026-01-24_Taxonomy-of-Technical-Writing.pdf,Document / Article,zero-shot(0.1645)
C:\Users\ajayp\Downloads\Multidisciplinary.docx,Document / Article,zero-shot(0.1646)
C:\Users\ajayp\Downloads\Multidisciplinaryfinal.docx,Document / Article,zero-shot(0.1646)
C:\Users\ajayp\Downloads\Multidisciplinary_FIXED.docx,Document / Article,zero-shot(0.1646)
C:\Users\ajayp\Downloads\Multidisciplinary_Updated.docx,Document / Article,zero-shot(0.1646)
C:\Users\ajayp\Downloads\PowerToysSetup-0.91.1-x64.exe,Code / Terminal,zero-shot(0.1647)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\18- Referencing Urls.mp4,Code / Terminal,zero-shot(0.1647)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\12- Building Web Applications with Django\10- Database Abstraction API.mp4,UI / Design,zero-shot(0.1649)
C:\Users\ajayp\Downloads\Expense Tracker\.git\hooks\pre-rebase.sample,Other,zero-shot(0.165)
C:\Users\ajayp\Downloads\DiscordSetup.exe,UI / Design,zero-shot(0.1652)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\10- Nested Loops.mp4,UI / Design,zero-shot(0.1652)
C:\Users\ajayp\Downloads\BACSE203-Module-1-Second half.pdf,Code / Terminal,zero-shot(0.1653)
C:\Users\ajayp\Downloads\India_Studies_MCQ_Notes.pdf,Document / Article,zero-shot(0.1653)
C:\Users\ajayp\Downloads\Probability_Bayes_Module1_Anki_Flashcards.csv,Chart / Data,zero-shot(0.1653)
C:\Users\ajayp\Downloads\Multidisciplinary (1) (1).pdf,Document / Article,zero-shot(0.1657)
C:\Users\ajayp\Downloads\Multidisciplinary (1).pdf,Document / Article,zero-shot(0.1657)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE105_00100_ETH_2026-01-28_Module-1.pdf,Code / Terminal,zero-shot(0.1657)
C:\Users\ajayp\Downloads\2. Introduction to algorithm analysis Asymtotic Notation (1).docx,Chart / Data,zero-shot(0.1658)
C:\Users\ajayp\Downloads\2. Introduction to algorithm analysis Asymtotic Notation (2).docx,Chart / Data,zero-shot(0.1658)
C:\Users\ajayp\Downloads\2. Introduction to algorithm analysis Asymtotic Notation.docx,Chart / Data,zero-shot(0.1658)
C:\Users\ajayp\Downloads\10- Filter Function.mp4,Other,zero-shot(0.1659)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\10- Filter Function.mp4,Other,zero-shot(0.1659)
C:\Users\ajayp\Downloads\9- Map Function.mp4,UI / Design,zero-shot(0.166)
"C:\Users\ajayp\Downloads\A Study on Types of Malware, Their Analysis, and AI-Based Prevention Techniques_final.docx",Document / Article,zero-shot(0.166)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\5- Data Structures\9- Map Function.mp4,UI / Design,zero-shot(0.166)
C:\Users\ajayp\Downloads\tesseract-ocr-w64-setup-5.5.0.20241111.exe,Document / Article,zero-shot(0.1661)
C:\Users\ajayp\Downloads\expense_tracker_interview_prep.md,UI / Design,zero-shot(0.1663)
C:\Users\ajayp\Downloads\7- Web Scraping.mp4,UI / Design,zero-shot(0.1664)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\11- Popular Python Packages\7- Web Scraping.mp4,UI / Design,zero-shot(0.1664)
C:\Users\ajayp\Downloads\wifi-autologin-custom.zip,UI / Design,zero-shot(0.1666)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\0. Websites you may like\2. OneHack.us Premium Cracked Accounts-Tutorials-Guides-Articles Community Based Forum.url,Code / Terminal,zero-shot(0.1667)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-08-30 at 15.03.47_ca51309e.jpg,Chart / Data,zero-shot(0.1668)
C:\Users\ajayp\Downloads\WINSEM2025-26_VL_BACSE106_00100_ETH_2026-01-05_Module-1.pptx,Other,zero-shot(0.1669)
C:\Users\ajayp\Downloads\Multidisciplinary.pdf,Document / Article,zero-shot(0.167)
C:\Users\ajayp\Downloads\PYQ_Analysis_Report.docx,Document / Article,zero-shot(0.167)
C:\Users\ajayp\Downloads\9- Making Custom Containers.mp4,UI / Design,zero-shot(0.1671)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\3- Control Flow\13- Infinite Loops.mp4,UI / Design,zero-shot(0.1671)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\9- Making Custom Containers.mp4,UI / Design,zero-shot(0.1671)
C:\Users\ajayp\Downloads\expense_tracker_interview_prep.md.pdf,UI / Design,zero-shot(0.1678)
C:\Users\ajayp\Downloads\FALLSEM2026-27_VL_BAMAT207_00100_ETH_2026-07-06_Basic-of-probability-and-bayes-theorem.pdf,Chart / Data,zero-shot(0.1678)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-14 at 10.03.01_27104815.jpg,Other,zero-shot(0.168)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\2- Primitive Types\9- Type Conversion.mp4,Other,zero-shot(0.1681)
C:\Users\ajayp\Downloads\Lec 19 - M3- Divide and Conquer - Karatsuba faster integer multiplication algorithm.pptx,Code / Terminal,zero-shot(0.1684)
C:\Users\ajayp\Downloads\18- Abstract Base Classes.mp4,UI / Design,zero-shot(0.1687)
C:\Users\ajayp\Downloads\python\[FreeCoursesOnline.Me] Code With Mosh - Complete Python Mastery\7- Classes\18- Abstract Base Classes.mp4,UI / Design,zero-shot(0.1687)
C:\Users\ajayp\Downloads\WhatsApp Image 2025-09-14 at 10.03.04_a58c3fac.jpg,Chart / Data,zero-shot(0.1688)
C:\Users\ajayp\Downloads\wifi-autologin-extension (1).zip,Chat / Messages,zero-shot(0.1688)
